Soil Moisture,Temperature,Location,Previous Yield,Weather,Season,Previous Harvested Crop
69,20,Odisha,40,Stormy,Winter,Pulses
,30,Mizoram,,Cloudy,Monsoon,Rice
41,27,Bihar,58,Sunny,Autumn,Pulses
,24,Tripura,63,Stormy,Monsoon,Rice
72,28,Meghalaya,65,Rainy,Monsoon,Potato
78,30,Manipur,42,Cloudy,Summer,Pulses
48,31,Assam,68,Rainy,Spring,Rice
,30,Nagaland,67,Cloudy,Monsoon,Oilseeds
66,22,Chhattisgarh,66,Cloudy,Autumn,Turmeric
79,14,Andhra Pradesh,35,Sunny,Winter,Paddy
55,27,Tripura,54,Cloudy,Monsoon,Rubber
72,28,Kerala,69,Rainy,Autumn,Rubber
80,34,Tripura,49,Rainy,Summer,Pulses
80,24,Nagaland,45,Rainy,Monsoon,Rice
77,17,Meghalaya,,Rainy,Winter,Apple
62,28,Maharashtra,58,Sunny,Autumn,Grapes
46,25,Karnataka,43,Rainy,Winter,Jowar
,41,Arunachal Pradesh,,Stormy,Spring,Oilseeds
49,36,Arunachal Pradesh,37,Stormy,Spring,Oilseeds
,22,Haryana,51,Rainy,Monsoon,Bajra
,28,Punjab,67,Cloudy,Autumn,Wheat
,30,Manipur,39,Rainy,Monsoon,Pulses
76,28,West Bengal,56,Rainy,Summer,Mustard
80,34,Assam,61,Stormy,Summer,Tea
,31,Meghalaya,56,Rainy,Monsoon,Apple
53,28,Nagaland,70,Stormy,Spring,Rice
76,14,Meghalaya,57,Stormy,Winter,Rice
66,35,Karnataka,66,Cloudy,Summer,Sugarcane
,12,West Bengal,35,Stormy,Winter,Mustard
43,37,Mizoram,40,Sunny,Spring,Rice
46,23,Jharkhand,49,Stormy,Autumn,Rice
47,35,Haryana,70,Sunny,Spring,Gram
50,25,Bihar,46,Rainy,Autumn,Wheat
55,25,Andhra Pradesh,,Rainy,Winter,Groundnut
49,17,Sikkim,33,Cloudy,Winter,Cardamom
73,28,Haryana,,Rainy,Spring,Wheat
74,30,Andhra Pradesh,32,Stormy,Monsoon,Paddy
77,20,Maharashtra,59,Cloudy,Autumn,Cotton
59,14,Tripura,35,Cloudy,Winter,Rubber
55,40,Sikkim,40,Cloudy,Spring,Barley
51,25,Andhra Pradesh,59,Sunny,Autumn,Mango
69,39,Punjab,,Sunny,Spring,Cotton
78,27,Madhya Pradesh,51,Cloudy,Summer,Jowar
68,28,Kerala,46,Rainy,Autumn,Coconut
50,25,West Bengal,30,Rainy,Autumn,Maize
42,30,Tamil Nadu,,Cloudy,Autumn,Tea
63,38,Kerala,61,Cloudy,Spring,Rubber
46,27,Madhya Pradesh,68,Stormy,Summer,Wheat
,28,Chhattisgarh,60,Stormy,Spring,Rice
,29,Bihar,45,Rainy,Autumn,Pulses
41,27,Kerala,31,Cloudy,Summer,Rubber
57,30,Andhra Pradesh,49,Stormy,Spring,Paddy
64,14,Manipur,46,Cloudy,Winter,Pulses
72,38,Jharkhand,59,Stormy,Spring,Forest
56,26,Odisha,34,Rainy,Summer,Rice
,30,West Bengal,35,Rainy,Summer,Mustard
49,20,Nagaland,36,Stormy,Winter,Rice
70,17,Arunachal Pradesh,41,Rainy,Winter,Rice
62,21,Madhya Pradesh,,Sunny,Winter,Soybean
54,28,Haryana,37,Cloudy,Summer,Bajra
,29,Meghalaya,41,Sunny,Summer,Rice
,23,Odisha,43,Cloudy,Monsoon,Sugarcane
57,19,Nagaland,36,Sunny,Winter,Oilseeds
58,29,Gujarat,67,Sunny,Monsoon,Tobacco
61,25,Bihar,64,Rainy,Monsoon,Wheat
43,29,Tripura,68,Rainy,Monsoon,Rice
50,22,Odisha,55,Sunny,Autumn,Rice
55,25,Gujarat,39,Cloudy,Summer,Tobacco
80,19,Maharashtra,,Rainy,Winter,Cotton
,22,Tamil Nadu,31,Stormy,Winter,Cotton
47,28,Telangana,43,Cloudy,Autumn,Cotton
45,31,Rajasthan,48,Sunny,Spring,Turmeric
41,28,Meghalaya,57,Cloudy,Spring,Potato
58,27,Arunachal Pradesh,37,Cloudy,Monsoon,Rice
41,29,Bihar,70,Stormy,Spring,Pulses
42,24,Manipur,63,Sunny,Monsoon,Pineapple
53,41,Nagaland,38,Sunny,Spring,Rice
70,42,Karnataka,34,Rainy,Spring,Jowar
,28,Uttar Pradesh,67,Stormy,Monsoon,Maize
49,31,Arunachal Pradesh,40,Sunny,Spring,Rice
62,31,Maharashtra,44,Rainy,Monsoon,Sugarcane
,30,West Bengal,69,Sunny,Summer,Rice
60,20,Bihar,67,Stormy,Autumn,Maize
56,31,West Bengal,63,Cloudy,Summer,Maize
65,39,Gujarat,36,Stormy,Spring,Cotton
,41,Manipur,66,Cloudy,Spring,Rice
46,20,Bihar,,Stormy,Autumn,Wheat
57,25,Madhya Pradesh,54,Rainy,Monsoon,Wheat
74,24,Sikkim,33,Cloudy,Autumn,Barley
72,27,Tamil Nadu,48,Rainy,Autumn,Cotton
55,24,Uttar Pradesh,30,Cloudy,Autumn,Maize
60,35,Uttar Pradesh,55,Cloudy,Spring,Maize
61,32,Andhra Pradesh,65,Sunny,Spring,Mango
73,26,Andhra Pradesh,34,Stormy,Summer,Mango
80,30,Nagaland,57,Rainy,Summer,Rice
68,24,Odisha,51,Rainy,Monsoon,Pulses
43,32,Mizoram,31,Cloudy,Monsoon,Rice
74,22,Odisha,51,Sunny,Autumn,Sugarcane
52,32,Haryana,43,Cloudy,Spring,Bajra
79,35,Arunachal Pradesh,31,Rainy,Summer,Tea
69,27,Meghalaya,45,Sunny,Autumn,Potato
63,21,Gujarat,65,Stormy,Autumn,Groundnut
75,34,Haryana,39,Sunny,Spring,Bajra
46,19,Sikkim,48,Cloudy,Winter,Ginger
,22,Nagaland,52,Cloudy,Autumn,Oilseeds
66,21,Arunachal Pradesh,56,Stormy,Autumn,Tea
48,20,Assam,47,Rainy,Autumn,Sugarcane
59,26,Manipur,32,Stormy,Autumn,Rice
54,22,Nagaland,52,Stormy,Monsoon,Ginger
,23,Odisha,,Cloudy,Winter,Rice
76,28,Punjab,48,Rainy,Monsoon,Cotton
55,28,Nagaland,43,Sunny,Autumn,Ginger
,25,Bihar,60,Stormy,Monsoon,Wheat
,37,Chhattisgarh,34,Rainy,Spring,Maize
62,19,Kerala,,Rainy,Winter,Coconut
53,31,Karnataka,40,Cloudy,Summer,Soybean
,34,Chhattisgarh,46,Sunny,Spring,Maize
44,27,Andhra Pradesh,70,Stormy,Summer,Paddy
62,39,Uttar Pradesh,,Cloudy,Spring,Maize
65,29,Bihar,41,Rainy,Spring,Pulses
,23,Jharkhand,53,Sunny,Monsoon,Rice
72,31,Jharkhand,33,Rainy,Spring,Forest
,28,Nagaland,63,Cloudy,Autumn,Oilseeds
,20,Bihar,45,Cloudy,Autumn,Pulses
62,39,Tamil Nadu,55,Sunny,Spring,Groundnut
70,20,Odisha,33,Rainy,Autumn,Rice
61,20,Andhra Pradesh,46,Rainy,Winter,Mango
77,32,Uttar Pradesh,57,Sunny,Summer,Sugarcane
63,33,Mizoram,39,Sunny,Summer,Pulses
,14,Nagaland,39,Sunny,Winter,Ginger
74,32,Maharashtra,66,Sunny,Spring,Sugarcane
57,33,Gujarat,63,Cloudy,Summer,Tobacco
58,32,West Bengal,61,Sunny,Monsoon,Mustard
59,13,Assam,32,Cloudy,Winter,Tea
48,12,Karnataka,52,Rainy,Winter,Sugarcane
67,15,Karnataka,42,Sunny,Winter,Soybean
43,27,Meghalaya,50,Stormy,Summer,Rice
,30,Gujarat,37,Rainy,Autumn,Groundnut
,24,Bihar,61,Sunny,Monsoon,Wheat
,35,Karnataka,43,Rainy,Summer,Soybean
80,28,Manipur,38,Stormy,Autumn,Pineapple
49,12,Mizoram,39,Stormy,Winter,Rice
73,33,Kerala,,Cloudy,Spring,Rubber
49,21,Andhra Pradesh,46,Rainy,Autumn,Mango
43,23,Rajasthan,,Stormy,Monsoon,Bajra
,24,Odisha,69,Cloudy,Winter,Sugarcane
62,29,Rajasthan,59,Cloudy,Spring,Barley
48,33,Uttar Pradesh,52,Sunny,Spring,Mustard
,41,Jharkhand,42,Sunny,Spring,Pulses
55,28,Telangana,58,Rainy,Monsoon,Cotton
53,20,Andhra Pradesh,65,Sunny,Winter,Groundnut
49,42,Nagaland,30,Stormy,Spring,Ginger
54,30,Haryana,53,Rainy,Summer,Wheat
78,25,Gujarat,67,Stormy,Winter,Groundnut
66,17,Kerala,55,Rainy,Winter,Coconut
46,24,Mizoram,40,Sunny,Monsoon,Pulses
,32,Jharkhand,68,Stormy,Spring,Pulses
67,25,Uttar Pradesh,52,Rainy,Winter,Maize
51,21,Andhra Pradesh,69,Stormy,Autumn,Paddy
66,23,Assam,46,Stormy,Autumn,Sugarcane
76,20,Manipur,,Rainy,Autumn,Pulses
54,22,West Bengal,49,Sunny,Winter,Rice
70,23,Rajasthan,48,Sunny,Monsoon,Bajra
63,19,Punjab,,Cloudy,Winter,Gram
57,31,Assam,66,Rainy,Monsoon,Sugarcane
66,27,Tripura,70,Cloudy,Summer,Pulses
74,29,Mizoram,65,Stormy,Summer,Rice
44,23,Manipur,66,Cloudy,Autumn,Pulses
52,29,Sikkim,35,Rainy,Autumn,Barley
71,26,Odisha,68,Stormy,Monsoon,Sugarcane
80,31,Madhya Pradesh,34,Cloudy,Monsoon,Wheat
77,23,Nagaland,48,Rainy,Monsoon,Ginger
67,30,Karnataka,48,Sunny,Autumn,Soybean
,31,Rajasthan,50,Cloudy,Summer,Barley
,30,Sikkim,34,Stormy,Spring,Ginger
75,29,Assam,64,Cloudy,Spring,Rice
53,18,Haryana,33,Cloudy,Winter,Bajra
56,42,Maharashtra,41,Rainy,Spring,Sugarcane
,25,Sikkim,33,Sunny,Monsoon,Cardamom
67,30,Nagaland,,Sunny,Monsoon,Oilseeds
53,29,Madhya Pradesh,52,Cloudy,Spring,Soybean
,15,Assam,70,Sunny,Winter,Tea
42,30,Punjab,48,Cloudy,Monsoon,Wheat
40,28,Sikkim,32,Rainy,Summer,Ginger
76,24,Uttar Pradesh,43,Cloudy,Monsoon,Mustard
55,21,Manipur,,Sunny,Winter,Pineapple
48,26,Haryana,68,Sunny,Autumn,Bajra
71,25,Haryana,35,Sunny,Monsoon,Bajra
,25,Odisha,36,Sunny,Autumn,Sugarcane
60,37,Uttar Pradesh,,Cloudy,Spring,Sugarcane
56,31,Sikkim,65,Rainy,Monsoon,Barley
46,20,Manipur,55,Stormy,Winter,Rice
74,32,West Bengal,38,Sunny,Summer,Maize
75,12,Arunachal Pradesh,30,Sunny,Winter,Oilseeds
42,34,West Bengal,70,Sunny,Spring,Maize
40,30,West Bengal,67,Sunny,Spring,Maize
60,28,Telangana,38,Rainy,Autumn,Mango
59,38,Manipur,51,Sunny,Spring,Pulses
48,36,Jharkhand,33,Stormy,Spring,Rice
,32,Tripura,47,Stormy,Spring,Rice
,36,Uttar Pradesh,67,Sunny,Spring,Sugarcane
59,14,Madhya Pradesh,33,Sunny,Winter,Soybean
,22,Haryana,59,Rainy,Autumn,Gram
,25,Nagaland,66,Cloudy,Summer,Rice
49,32,Kerala,56,Cloudy,Summer,Rubber
65,28,Punjab,,Stormy,Monsoon,Cotton
56,29,Haryana,48,Rainy,Monsoon,Bajra
64,22,Arunachal Pradesh,41,Rainy,Monsoon,Tea
,30,Tamil Nadu,65,Stormy,Summer,Tea
46,29,Sikkim,61,Stormy,Autumn,Cardamom
68,29,Mizoram,32,Sunny,Summer,Bamboo
61,28,Uttar Pradesh,45,Cloudy,Spring,Maize
46,28,Chhattisgarh,59,Stormy,Summer,Turmeric
,34,Tripura,53,Rainy,Summer,Rice
64,33,Manipur,56,Rainy,Summer,Pineapple
50,29,Uttar Pradesh,58,Stormy,Monsoon,Mustard
80,30,Karnataka,70,Sunny,Autumn,Sugarcane
41,34,Karnataka,34,Sunny,Spring,Sugarcane
54,41,Andhra Pradesh,32,Stormy,Spring,Paddy
,37,Bihar,47,Stormy,Spring,Pulses
46,28,Haryana,,Cloudy,Summer,Bajra
47,25,Nagaland,39,Sunny,Autumn,Oilseeds
,20,Madhya Pradesh,30,Sunny,Winter,Soybean
57,14,Gujarat,36,Rainy,Winter,Cotton
45,34,Assam,70,Cloudy,Spring,Tea
75,32,Telangana,36,Rainy,Summer,Cotton
65,24,Sikkim,45,Sunny,Autumn,Ginger
49,20,Sikkim,56,Rainy,Winter,Ginger
,26,Gujarat,66,Cloudy,Summer,Groundnut
,15,Chhattisgarh,58,Cloudy,Winter,Rice
47,18,Meghalaya,,Stormy,Winter,Rice
74,27,Meghalaya,,Stormy,Autumn,Apple
49,32,Maharashtra,52,Stormy,Summer,Grapes
40,32,Tamil Nadu,59,Rainy,Summer,Tea
75,32,Maharashtra,42,Rainy,Spring,Cotton
,22,Rajasthan,37,Stormy,Monsoon,Turmeric
55,31,Bihar,59,Stormy,Monsoon,Wheat
44,28,Manipur,69,Stormy,Autumn,Pulses
,35,Arunachal Pradesh,60,Rainy,Summer,Tea
78,25,Kerala,41,Cloudy,Autumn,Rubber
68,28,Kerala,,Stormy,Autumn,Rubber
60,14,Arunachal Pradesh,53,Rainy,Winter,Tea
,29,Assam,38,Sunny,Summer,Sugarcane
62,13,Assam,48,Rainy,Winter,Rice
40,23,Gujarat,45,Rainy,Autumn,Tobacco
52,28,Chhattisgarh,45,Rainy,Summer,Turmeric
41,18,Tamil Nadu,34,Sunny,Winter,Cotton
68,24,Bihar,34,Stormy,Winter,Wheat
45,16,Andhra Pradesh,44,Cloudy,Winter,Mango
,32,Odisha,39,Stormy,Summer,Sugarcane
74,34,Manipur,,Sunny,Spring,Pulses
46,29,Haryana,64,Rainy,Autumn,Bajra
46,29,West Bengal,63,Cloudy,Monsoon,Maize
,24,Kerala,32,Stormy,Monsoon,Tea
61,18,Meghalaya,49,Rainy,Winter,Rice
63,13,Karnataka,,Stormy,Winter,Jowar
55,26,Sikkim,49,Stormy,Monsoon,Barley
,42,Odisha,31,Rainy,Spring,Pulses
,27,Sikkim,,Cloudy,Monsoon,Ginger
,35,Madhya Pradesh,63,Stormy,Spring,Wheat
73,22,Chhattisgarh,40,Sunny,Autumn,Maize
69,40,Maharashtra,63,Stormy,Spring,Cotton
68,23,Nagaland,66,Rainy,Winter,Rice
59,30,Karnataka,41,Sunny,Summer,Sugarcane
67,29,Telangana,,Sunny,Autumn,Cotton
79,13,Karnataka,65,Rainy,Winter,Sugarcane
61,27,Assam,51,Cloudy,Summer,Tea
51,26,Sikkim,,Sunny,Summer,Cardamom
77,23,Rajasthan,66,Stormy,Autumn,Barley
59,22,Kerala,60,Stormy,Autumn,Coconut
55,21,Andhra Pradesh,48,Stormy,Autumn,Groundnut
,32,Nagaland,53,Stormy,Monsoon,Rice
41,20,Rajasthan,58,Sunny,Autumn,Bajra
40,21,Andhra Pradesh,59,Cloudy,Winter,Paddy
75,34,Karnataka,,Stormy,Summer,Sugarcane
64,27,West Bengal,51,Stormy,Autumn,Mustard
,20,Punjab,48,Rainy,Autumn,Cotton
78,29,Madhya Pradesh,41,Stormy,Monsoon,Wheat
61,35,Odisha,39,Stormy,Summer,Pulses
46,18,Telangana,64,Rainy,Winter,Mango
51,25,Uttar Pradesh,31,Rainy,Summer,Mustard
73,21,Nagaland,,Stormy,Autumn,Ginger
49,16,Sikkim,46,Cloudy,Winter,Barley
78,24,Arunachal Pradesh,49,Sunny,Autumn,Oilseeds
,23,Andhra Pradesh,50,Cloudy,Monsoon,Groundnut
78,27,Meghalaya,61,Stormy,Summer,Apple
67,22,Kerala,44,Stormy,Winter,Coconut
,22,Tamil Nadu,54,Cloudy,Autumn,Cotton
61,12,Punjab,39,Cloudy,Winter,Wheat
46,28,Arunachal Pradesh,56,Sunny,Autumn,Oilseeds
63,26,Manipur,48,Cloudy,Autumn,Pineapple
48,21,Bihar,,Rainy,Winter,Pulses
73,32,Punjab,54,Rainy,Monsoon,Cotton
41,23,Haryana,37,Rainy,Monsoon,Gram
61,35,Tripura,30,Sunny,Summer,Rubber
42,19,Rajasthan,38,Stormy,Winter,Barley
50,21,Tamil Nadu,60,Stormy,Autumn,Groundnut
75,36,Rajasthan,,Cloudy,Spring,Turmeric
75,23,Madhya Pradesh,35,Sunny,Autumn,Jowar
78,26,Assam,43,Sunny,Autumn,Tea
76,34,Odisha,39,Stormy,Spring,Rice
,28,Madhya Pradesh,48,Cloudy,Summer,Jowar
41,28,Punjab,41,Rainy,Spring,Cotton
40,17,Arunachal Pradesh,61,Cloudy,Winter,Oilseeds
58,17,Madhya Pradesh,36,Sunny,Winter,Wheat
,25,Mizoram,53,Stormy,Winter,Bamboo
61,22,Andhra Pradesh,44,Cloudy,Winter,Groundnut
58,32,Gujarat,34,Rainy,Spring,Cotton
67,31,Arunachal Pradesh,59,Rainy,Summer,Oilseeds
58,26,West Bengal,32,Cloudy,Monsoon,Maize
46,33,Bihar,57,Cloudy,Summer,Maize
,23,Manipur,49,Sunny,Monsoon,Pulses
67,23,Rajasthan,40,Cloudy,Monsoon,Barley
77,31,Rajasthan,50,Cloudy,Spring,Bajra
69,26,Chhattisgarh,37,Rainy,Autumn,Rice
80,15,Tamil Nadu,54,Sunny,Winter,Tea
,38,West Bengal,58,Stormy,Spring,Maize
64,30,Chhattisgarh,61,Sunny,Monsoon,Turmeric
40,30,Odisha,70,Cloudy,Summer,Pulses
48,31,Karnataka,,Cloudy,Summer,Soybean
,21,Karnataka,36,Rainy,Autumn,Soybean
64,16,Jharkhand,37,Rainy,Winter,Forest
74,26,Tamil Nadu,68,Rainy,Autumn,Tea
47,31,Gujarat,38,Cloudy,Monsoon,Groundnut
46,22,Gujarat,58,Rainy,Monsoon,Groundnut
54,42,Chhattisgarh,66,Stormy,Spring,Turmeric
54,25,Chhattisgarh,36,Sunny,Summer,Turmeric
58,32,West Bengal,60,Rainy,Spring,Rice
66,16,Kerala,45,Sunny,Winter,Rubber
41,30,Manipur,57,Rainy,Autumn,Rice
74,27,Gujarat,69,Rainy,Autumn,Groundnut
57,28,Jharkhand,32,Stormy,Autumn,Pulses
77,39,Punjab,53,Sunny,Spring,Wheat
,28,Arunachal Pradesh,60,Stormy,Summer,Oilseeds
